DAY \ TIME,09:00-9:55,9:55-10:50,10:50-11:00,11:00-11:55,11:55-12:50,12:50-1:20,1:20-2:15,2:15-3:10,3:10-4:05,4:05-5:00
MONDAY,,XCS-501,,,,,PCS-506,PCS-506,,
,,PA21,,,,,RD09,RD09,,
TUESDAY,,TCS-502,,,,,TMA-502,TCS-509,,
,,AA04,,,,,JM12,AB17,,
WEDNESDAY,,TCS-502,,,,,TCS-503,Library,,
,,AA04,,,,,BJ10,None,,
THURSDAY,,TCS-531,,,,,PMA-502,PMA-502,,
,,PK02,,,,,PM14,PM14,,
FRIDAY,,Library,,,,,,,,
,,None,,,,,,,,
SATURDAY,,Library,,,,,Library,Library,,
,,None,,,,,None,None,,
SUNDAY,,,,,,,,,,
,,,,,,,,,,
